date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sz.399001,10509.124,10663.554,10479.773,10638.824,10430.766,39325746944,4.24347E+11,1.994657,0.124325
2020/1/3,sz.399001,10666.655,10689.591,10594.357,10656.406,10638.824,37418270208,4.05405E+11,0.165263,0.099001169
2020/1/6,sz.399001,10599.411,10799.579,10577.782,10698.273,10656.406,43964164608,4.72893E+11,0.392881,0.099031499
2020/1/7,sz.399001,10725.177,10829.045,10723.857,10829.045,10698.273,41449962752,4.44166E+11,1.222366,0.115503683
2020/1/8,sz.399001,10776.707,10851.281,10681.024,10706.868,10829.045,46250691072,4.72741E+11,-1.128234,0.116125316
2020/1/9,sz.399001,10807.037,10899.482,10807.037,10898.166,10706.868,39659111424,4.34903E+11,1.786685,0.098741308
2020/1/10,sz.399001,10927.981,10933.805,10833.519,10879.842,10898.166,35568971264,3.98601E+11,-0.168138,0.088524001
2020/1/13,sz.399001,10893.995,11040.201,10851.719,11040.201,10879.842,34527366400,4.09506E+11,1.473909,0.097237041
2020/1/14,sz.399001,11074.886,11086.808,10983.415,10988.767,11040.201,37729812224,4.30401E+11,-0.465879,0.083984936
2020/1/15,sz.399001,10978.281,11001.805,10882.787,10972.316,10988.767,33123327232,3.78161E+11,-0.149707,0.118308232
2020/1/16,sz.399001,10986.648,11008.208,10934.724,10967.435,10972.316,31796837376,3.75958E+11,-0.044485,0.131808299
2020/1/17,sz.399001,11001.677,11045.25,10927.84,10954.388,10967.435,30482010368,3.65143E+11,-0.118961,0.083474041
2020/1/20,sz.399001,10981.504,11115.884,10936.803,11115.884,10954.388,33062551296,4.08001E+11,1.474259,0.106037868
2020/1/21,sz.399001,11077.657,11078.039,10948.576,10953.413,11115.884,33854080512,4.04258E+11,-1.461611,0.083014446
2020/1/22,sz.399001,10896.554,11105.69,10761.676,11072.057,10953.413,35209008128,4.29531E+11,1.083169,0.099571735
2020/1/23,sz.399001,10947.857,11025.995,10572.265,10681.904,11072.057,40289425920,4.81548E+11,-3.523763,0.120553728
2020/2/3,sz.399001,9706.579,9934.349,9706.579,9779.668,10681.904,19544992256,2.6246E+11,-8.446397,0.083953121
2020/2/4,sz.399001,9578.866,10095.69,9578.866,10089.666,9779.668,51156007936,5.36037E+11,3.169821,0.115246447
2020/2/5,sz.399001,10159.552,10445.093,10148.243,10305.498,10089.666,45467182592,5.231E+11,2.139139,0.134292278
2020/2/6,sz.399001,10306.115,10633.165,10214.811,10601.342,10305.498,48110943488,5.54856E+11,2.870739,0.092204045
2020/2/7,sz.399001,10569.652,10629.149,10441.903,10611.551,10601.342,48961955840,5.67201E+11,0.096299,0.131442069
2020/2/10,sz.399001,10577.557,10730.053,10551.538,10728.459,10611.551,47089083648,5.44274E+11,1.101705,0.134945442
2020/2/11,sz.399001,10749.973,10839.185,10678.106,10768.627,10728.459,41781519104,4.83069E+11,0.374406,0.114365586
2020/2/12,sz.399001,10735.047,10944.629,10724.084,10940.795,10768.627,42014176256,4.92545E+11,1.598792,0.140941568
2020/2/13,sz.399001,10936.501,10988.231,10820.917,10864.322,10940.795,45529039872,5.36585E+11,-0.698971,0.092258296
2020/2/14,sz.399001,10854.455,11017.645,10822.133,10916.311,10864.322,41709336832,5.04892E+11,0.47853,0.08517182
2020/2/17,sz.399001,10974.932,11241.499,10974.932,11241.499,10916.311,48111496448,5.70189E+11,2.978918,0.115309364
2020/2/18,sz.399001,11244.765,11306.486,11143.387,11306.486,11241.499,52809083648,6.24948E+11,0.578099,0.103900201
2020/2/19,sz.399001,11300.161,11387.992,11229.551,11235.595,11306.486,53776285184,6.57484E+11,-0.626994,0.13634719
2020/2/20,sz.399001,11278.874,11519.073,11248.902,11509.087,11235.595,55171062016,6.54665E+11,2.434157,0.148212352
2020/2/21,sz.399001,11506.673,11727.888,11493.632,11629.698,11509.087,60039173376,7.25971E+11,1.047963,0.098394267
2020/2/24,sz.399001,11620.631,11809.749,11548.409,11772.375,11629.698,62054634752,7.70458E+11,1.226833,0.108485982
2020/2/25,sz.399001,11537.553,11869.406,11350.275,11856.081,11772.375,73050583040,9.02187E+11,0.711037,0.105061766
2020/2/26,sz.399001,11677.628,11770.508,11453.686,11497.553,11856.081,68651309824,8.17349E+11,-3.024001,0.097113434
2020/2/27,sz.399001,11555.818,11684.497,11401.323,11534.018,11497.553,55169482496,6.54632E+11,0.317154,0.085829061
