date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-02,sh.000001,3079.4917858195995,3095.379076221432,3063.7076322174166,3079.104136662025,3078.475978969496,29247020800,327197122560.0,1.149888
2020-01-03,sh.000001,3076.478915617256,3093.045045910898,3060.4392667550924,3075.84588717574,3075.826993199222,26149666816,289991708672.0,-0.045767
2020-01-06,sh.000001,3076.6634625013166,3093.1961437282043,3060.2346291677786,3075.473187379276,3075.978497162476,31257584128,331182551040.0,-0.012225
2020-01-07,sh.000001,3083.0211251815554,3098.1163638150724,3065.78069468545,3080.6287571591256,3081.5663318729125,27658311168,288159227904.0,0.69381
2020-01-08,sh.000001,3092.244989206746,3105.2401826028454,3074.147882945081,3088.4179742637953,3089.622835922681,29787255296,306517393408.0,-1.22098
2020-01-09,sh.000001,3101.382263201333,3112.3600687456224,3082.2886449981406,3096.0230657109887,3098.1579570282333,24343564800,271716020224.0,0.912618
2020-01-10,sh.000001,3107.995026695115,3117.2725681373554,3089.0113602121737,3101.9444271562334,3103.5673716720066,21044246272,241555668992.0,-0.083719
2020-01-13,sh.000001,3109.4596390302345,3117.775286309781,3092.9637352534764,3104.352432811302,3101.706224344984,21062100480,258524057600.0,0.752808
2020-01-14,sh.000001,3105.6186535472807,3113.8358926295855,3092.374191067727,3102.3853874386873,3095.2258002554054,22997377024,271542439936.0,-0.28081500000000004
2020-01-15,sh.000001,3094.584755814029,3103.585279731544,3085.0065790744547,3094.9336034289986,3084.269179998033,20231302400,232913444864.0,-0.540199
2020-01-16,sh.000001,3082.751909794488,3093.5710993732905,3074.1502124257327,3084.9452114289747,3075.538220712256,20337547520,236843360256.0,-0.516369
2020-01-17,sh.000001,3073.7808640149424,3087.6277026412204,3058.6548425929136,3070.5551615078934,3077.0242822800433,19030429952,242273046528.0,0.045997
2020-01-20,sh.000001,3064.003655330266,3081.8553912401876,3039.977855109107,3054.385076132891,3078.9614116558278,21049334016,271122456576.0,0.659796
2020-01-21,sh.000001,3063.5189714011412,3085.9422446739068,3036.9457220061927,3058.594610980778,3076.2189296727456,23483073792,286268096512.0,-1.409852
2020-01-22,sh.000001,3021.917929280343,3050.2853164226804,3003.074914609206,3039.5357503542923,3055.4011851179325,22385286400,278456922112.0,0.282195
2020-01-23,sh.000001,2967.218425646721,3001.289033167527,2908.6199976706425,2927.109685780835,3005.2234113423115,27276323328,327490359296.0,-2.751806
2020-02-03,sh.000001,2765.993366346427,2808.2015749368243,2757.1278053878646,2817.1518812434083,2946.4808801032264,21591210240,257019596800.0,-7.724537
2020-02-04,sh.000001,2771.662469491873,2824.720509795333,2755.006453442941,2819.8189733932622,2831.3193241693893,36404620032,374068465664.0,1.33554
2020-02-05,sh.000001,2808.6014208112,2867.061019441759,2790.1204906905105,2857.575576703648,2819.6401520721747,30976182272,349184114688.0,1.25032
2020-02-06,sh.000001,2822.125508172301,2867.0802603742295,2804.4489882013722,2859.2210746654205,2823.316410030011,31639214336,358582591488.0,1.7182580000000003
