date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-04-22,sz.399001,10424.4501,10617.1925,10409.8521,10617.1925,10506.8566,34484857059,373179059514.5500,1.050132
2020-04-23,sz.399001,10657.3995,10667.0113,10557.9433,10564.0458,10617.1925,38280972869,407896394021.0080,-0.500572
2020-04-24,sz.399001,10565.0868,10577.0288,10388.6613,10423.4622,10564.0458,37291139586,381097203000.1700,-1.330774
2020-04-27,sz.399001,10449.1265,10531.3918,10367.2922,10452.1708,10423.4622,32036978713,331351587770.7600,0.275423
2020-04-28,sz.399001,10477.7614,10547.7453,10194.1515,10501.1471,10452.1708,38469152976,403372452600.1100,0.468575
2020-04-29,sz.399001,10460.9947,10586.5717,10449.3732,10514.1731,10501.1471,29023198868,310081884005.8800,0.124044
2020-04-30,sz.399001,10575.5242,10751.7477,10575.5242,10721.7796,10514.1731,34810253127,401656708729.9900,1.974539
2020-05-06,sz.399001,10618.1651,10884.3400,10613.8877,10883.2183,10721.7796,35016317908,417220851949.8900,1.505708
2020-05-07,sz.399001,10899.9169,10926.8270,10832.0925,10863.2853,10883.2183,34587889048,398621132823.5500,-0.183154
2020-05-08,sz.399001,10923.6123,11054.3142,10904.8842,11001.5794,10863.2853,35434789069,410902382069.3100,1.273041
2020-05-11,sz.399001,11053.8157,11096.2844,10902.6048,10969.2819,11001.5794,34932753998,412801067084.0100,-0.293571
2020-05-12,sz.399001,10972.0503,11018.9255,10871.6142,11015.5584,10969.2819,30928583190,360877809665.5100,0.421874
2020-05-13,sz.399001,10978.3114,11096.6155,10954.6910,11074.5925,11015.5584,29883684044,357566915907.0200,0.535916
2020-05-14,sz.399001,11026.7120,11047.3764,10955.5382,10962.1473,11074.5925,32504079061,372773922227.0900,-1.015344
2020-05-15,sz.399001,11013.1554,11039.6783,10919.5404,10964.8920,10962.1473,31714461969,380063225005.4800,0.025038
2020-05-18,sz.399001,10969.0815,11017.4992,10858.4554,10921.1453,10964.8920,36207888258,442713632746.4200,-0.398971
2020-05-19,sz.399001,11023.4280,11052.8476,10978.7168,11052.8476,10921.1453,31011385021,385245479768.3000,1.205939
2020-05-20,sz.399001,11056.9770,11056.9770,10914.7543,10948.4771,11052.8476,34539737800,417524221201.2000,-0.944286
2020-05-21,sz.399001,10999.0702,11007.1445,10818.7857,10845.3964,10948.4771,32124994307,375610196357.6000,-0.941507
2020-05-22,sz.399001,10832.9134,10832.9134,10559.2977,10604.9659,10845.3964,29971897348,347490133244.3300,-2.216890
2020-05-25,sz.399001,10602.4707,10629.6106,10532.8617,10592.8444,10604.9659,24158753245,288513613801.4000,-0.114300
2020-05-26,sz.399001,10655.9833,10816.7095,10647.2506,10815.4306,10592.8444,27086420713,322629338262.1900,2.101288
2020-05-27,sz.399001,10823.2430,10823.2430,10657.8055,10682.6976,10815.4306,29342989795,345256176605.4900,-1.227256
2020-05-28,sz.399001,10680.8726,10727.9934,10505.7873,10653.4924,10682.6976,29705786836,339058020776.4300,-0.273388
2020-05-29,sz.399001,10615.1356,10764.8725,10588.7396,10746.0764,10653.4924,29492296256,338498582332.5200,0.869048
2020-06-01,sz.399001,10837.4919,11123.1949,10837.4919,11102.1504,10746.0764,39028221649,454170074797.3400,3.313526
2020-06-02,sz.399001,11133.6160,11146.8489,11059.1850,11112.4965,11102.1504,41951034031,477710161189.7100,0.093190
2020-06-03,sz.399001,11154.6417,11204.5171,11100.6898,11108.3594,11112.4965,41899491587,477363378228.1500,-0.037229
2020-06-04,sz.399001,11146.2929,11165.1389,11080.5061,11139.2565,11108.3594,35881224701,396325346349.8500,0.278143
2020-06-05,sz.399001,11153.2730,11180.5979,11087.2495,11180.5979,11139.2565,34250217834,378387677190.9800,0.371132
2020-06-08,sz.399001,11266.9349,11340.0297,11195.8492,11215.7600,11180.5979,35720978420,409674029152.7500,0.314492
2020-06-09,sz.399001,11238.4418,11303.5381,11195.0030,11284.2423,11215.7600,32998542513,368899489923.2900,0.610590
2020-06-10,sz.399001,11296.1349,11338.2360,11249.4346,11335.8626,11284.2423,31935162854,371135766848.5700,0.457455
2020-06-11,sz.399001,11328.0975,11405.0092,11180.7541,11243.6167,11335.8626,35689466427,431950524104.0100,-0.813753
2020-06-12,sz.399001,11017.1459,11306.1396,11003.3191,11251.7077,11243.6167,35469559970,424919067390.8000,0.071961
2020-06-15,sz.399001,11241.2557,11353.1637,11192.2735,11192.2735,11251.7077,38925304748,466150409084.4500,-0.528224
2020-06-16,sz.399001,11312.8069,11398.9661,11293.9040,11398.9661,11192.2735,35911707464,441480246116.6600,1.846744
2020-06-17,sz.399001,11421.0280,11421.0280,11330.3687,11420.8365,11398.9661,38296051988,460850397739.2900,0.191863
2020-06-18,sz.399001,11416.0779,11503.3827,11397.5729,11494.5542,11420.8365,37918520604,469208840249.7900,0.645467
2020-06-19,sz.399001,11505.6855,11694.8896,11500.5300,11668.1332,11494.5542,36011458253,459780873827.0400,1.510098
2020-06-22,sz.399001,11680.4052,11756.8556,11658.8057,11702.4416,11668.1332,37921121245,482583046867.9300,0.294035
2020-06-23,sz.399001,11711.2774,11796.4107,11651.8262,11794.0093,11702.4416,34943593688,452996357231.1700,0.782467
2020-06-24,sz.399001,11813.3637,11854.9899,11760.4693,11813.5280,11794.0093,32117466027,431766567846.2000,0.165497
2020-06-29,sz.399001,11780.6503,11814.6410,11695.4506,11752.3591,11813.5280,32724086528,422432536523.7900,-0.517787
2020-06-30,sz.399001,11828.5269,12013.6012,11827.7638,11992.3468,11752.3591,32744577368,449354295432.5100,2.042039
2020-07-01,sz.399001,12024.8398,12130.3018,11945.8921,12112.9645,11992.3468,39479772368,537408303851.0600,1.005789
2020-07-02,sz.399001,12095.8495,12278.8293,12055.9523,12269.4885,12112.9645,48295079945,601852588808.8000,1.292202
2020-07-03,sz.399001,12295.6197,12433.6843,12232.7040,12433.2649,12269.4885,51468269514,636094456668.8500,1.334827
2020-07-06,sz.399001,12519.4965,12945.7121,12519.4965,12941.7205,12433.2649,69387857125,841945857714.6200,4.089478
2020-07-07,sz.399001,13084.6499,13407.1927,12997.1671,13163.9796,12941.7205,75751727933,946232727616.6000,1.717384
2020-07-08,sz.399001,13170.2005,13428.9403,13059.2376,13406.3724,13163.9796,67184614394,845815788114.0000,1.841334
2020-07-09,sz.399001,13399.4676,13792.6346,13385.4260,13754.7439,13406.3724,76124434181,974826151011.3900,2.598552
2020-07-10,sz.399001,13662.3836,13831.6114,13599.0329,13671.2441,13754.7439,69912919043,909318666631.2200,-0.607062
2020-07-13,sz.399001,13699.2226,14149.1440,13699.2226,14149.1440,13671.2441,71080396940,955042543138.8000,3.495658
2020-07-14,sz.399001,14121.3303,14150.9966,13698.2688,13996.4641,14149.1440,73834211632,997206841399.4500,-1.079075
2020-07-15,sz.399001,14017.9304,14077.5600,13646.6622,13734.1288,13996.4641,67254248509,896791871431.7700,-1.874297
2020-07-16,sz.399001,13731.2839,13853.4423,12966.3248,12996.3397,13734.1288,62270031911,826680803382.1800,-5.371940
2020-07-17,sz.399001,13002.8359,13315.4360,12916.0802,13114.9384,12996.3397,47704743026,629589051103.8500,0.912555
2020-07-20,sz.399001,13303.8024,13448.8492,13032.3959,13448.8492,13114.9384,49488315030,649024905616.0300,2.546034
2020-07-21,sz.399001,13480.3900,13572.9345,13396.5817,13536.1735,13448.8492,47293922965,614163030094.9000,0.649307
2020-07-22,sz.399001,13507.3531,13816.6712,13459.8830,13657.0295,13536.1735,50091430638,657824342408.3500,0.892837
2020-07-23,sz.399001,13511.4507,13699.5281,13281.5494,13661.4997,13657.0295,52779589083,699157793080.9900,0.032732
2020-07-24,sz.399001,13547.8065,13602.7913,12868.9505,12935.6969,13661.4997,56629975050,750564667826.3400,-5.312761
2020-07-27,sz.399001,13013.7655,13093.8448,12838.8681,12976.8672,12935.6969,39828126536,524963232760.1700,0.318269
2020-07-28,sz.399001,13107.4330,13196.6155,13022.8183,13147.3536,12976.8672,38983720993,508095234992.9300,1.313772
2020-07-29,sz.399001,13117.1882,13557.4411,13085.9510,13557.4411,13147.3536,43779760122,593635518316.5600,3.119164
2020-07-30,sz.399001,13595.7712,13619.4949,13432.1311,13466.8549,13557.4411,47052868806,616787157102.8700,-0.668166
2020-07-31,sz.399001,13464.2070,13748.0338,13399.8592,13637.8826,13466.8549,48620168297,650213230375.0700,1.269990
2020-08-03,sz.399001,13771.7448,13964.5618,13712.9820,13964.5618,13637.8826,56879235377,761532325131.5800,2.395381
2020-08-04,sz.399001,13966.7328,14012.7058,13779.2204,13860.4591,13964.5618,56760579983,767895259883.7700,-0.745478
2020-08-05,sz.399001,13859.3182,13993.6689,13726.6178,13960.9250,13860.4591,50299173706,670273055126.9400,0.724838
