date,code,open,high,low,close,preclose,volume,amount,pctChg,label
2020-01-02,sh.000001,3066.335,3098.1,3066.335,3085.197,3050.124,29247020800,327197122560.0,1.149888,0
2020-01-03,sh.000001,3089.022,3093.819,3074.517,3083.785,3085.197,26149666816,289991708672.0,-0.045767,0
2020-01-06,sh.000001,3070.908,3107.203,3065.308,3083.408,3083.785,31257584128,331182551040.0,-0.012225,1
2020-01-07,sh.000001,3085.488,3105.45,3084.329,3104.801,3083.408,27658311168,288159227904.0,0.69381,0
2020-01-08,sh.000001,3094.238,3094.238,3059.131,3066.892,3104.801,29787255296,306517393408.0,-1.22098,1
2020-01-09,sh.000001,3082.639,3097.329,3080.131,3094.881,3066.892,24343564800,271716020224.0,0.912618,0
2020-01-10,sh.000001,3102.293,3105.224,3081.396,3092.29,3094.881,21044246272,241555668992.0,-0.083719,1
2020-01-13,sh.000001,3091.493,3115.569,3075.383,3115.569,3092.29,21062100480,258524057600.0,0.752808,0
2020-01-14,sh.000001,3120.666,3127.169,3105.604,3106.82,3115.569,22997377024,271542439936.0,-0.28081500000000004,0
2020-01-15,sh.000001,3103.174,3107.942,3082.042,3090.037,3106.82,20231302400,232913444864.0,-0.540199,0
2020-01-16,sh.000001,3095.734,3096.371,3070.884,3074.081,3090.037,20337547520,236843360256.0,-0.516369,0
2020-01-17,sh.000001,3081.464,3091.951,3067.252,3075.495,3074.081,19030429952,242273046528.0,0.045997,1
2020-01-20,sh.000001,3082.113,3096.31,3070.48,3095.787,3075.495,21049334016,271122456576.0,0.659796,0
2020-01-21,sh.000001,3085.789,3085.789,3051.23,3052.141,3095.787,23483073792,286268096512.0,-1.409852,1
2020-01-22,sh.000001,3038.486,3069.252,3006.267,3060.754,3052.141,22385286400,278456922112.0,0.282195,0
2020-01-23,sh.000001,3037.952,3045.04,2955.346,2976.528,3060.754,27276323328,327490359296.0,-2.751806,0
2020-02-03,sh.000001,2716.697,2766.577,2716.697,2746.605,2976.528,21591210240,257019596800.0,-7.724537,1
2020-02-04,sh.000001,2685.269,2786.164,2685.269,2783.287,2746.605,36404620032,374068465664.0,1.33554,1
2020-02-05,sh.000001,2792.371,2842.742,2778.864,2818.087,2783.287,30976182272,349184114688.0,1.25032,1
2020-02-06,sh.000001,2826.885,2876.587,2807.609,2866.509,2818.087,31639214336,358582591488.0,1.7182580000000003,1
2020-02-07,sh.000001,2858.932,2875.963,2838.77,2875.963,2866.509,30947964160,362384162816.0,0.329809,1
2020-02-10,sh.000001,2860.499,2891.847,2851.05,2890.487,2875.963,29492978432,341520400384.0,0.505013,1
2020-02-11,sh.000001,2894.541,2913.815,2882.242,2901.674,2890.487,26916833536,302956847104.0,0.38702800000000004,1
2020-02-12,sh.000001,2895.556,2926.899,2892.424,2926.899,2901.674,24873342976,297534418944.0,0.869326,0
2020-02-13,sh.000001,2927.144,2935.406,2901.242,2906.073,2926.899,27480484352,334526328832.0,-0.711538,1
2020-02-14,sh.000001,2899.865,2926.942,2899.573,2917.007,2906.073,25065062656,308080369664.0,0.376247,1
2020-02-17,sh.000001,2924.991,2983.637,2924.991,2983.622,2917.007,31319800832,367014338560.0,2.283676,0
2020-02-18,sh.000001,2981.409,2990.6,2960.775,2984.971,2983.622,31166591232,374998560768.0,0.045214,0
2020-02-19,sh.000001,2979.522,2998.271,2971.821,2975.401,2984.971,31514115072,381331161088.0,-0.320606,1
2020-02-20,sh.000001,2981.88,3031.37,2968.445,3030.154,2975.401,34573288192,413761363968.0,1.8401889999999999,1
2020-02-21,sh.000001,3022.245,3058.898,3020.141,3039.669,3030.154,36455727616,445062078464.0,0.31401,0
2020-02-24,sh.000001,3027.892,3042.182,3007.355,3031.233,3039.669,37043004416,451601362944.0,-0.27753,0
2020-02-25,sh.000001,2982.069,3016.945,2943.716,3013.05,3031.233,44162276096,513128644608.0,-0.599855,0
2020-02-26,sh.000001,2978.419,3028.778,2974.942,2987.928,3013.05,46904955136,495341449216.0,-0.833773,1
2020-02-27,sh.000001,2992.491,3009.457,2980.477,2991.328,2987.928,35052365824,395955642368.0,0.113791,0
2020-02-28,sh.000001,2924.64,2948.126,2878.544,2880.303,2991.328,40121691392,432657776640.0,-3.7115620000000002,1
2020-03-02,sh.000001,2899.31,2982.506,2899.31,2970.931,2880.303,36733336832,397244203008.0,3.146475,1
2020-03-03,sh.000001,3006.888,3026.842,2976.623,2992.896,2970.931,41010804736,447053680640.0,0.7393310000000001,1
2020-03-04,sh.000001,2981.806,3012.003,2974.358,3011.665,2992.896,35333827840,389893918720.0,0.6271180000000001,1
2020-03-05,sh.000001,3036.154,3074.257,3022.926,3071.677,3011.665,44542580736,482770472960.0,1.992652,0
2020-03-06,sh.000001,3039.939,3052.443,3029.463,3034.511,3071.677,36206153216,377388544000.0,-1.209958,0
2020-03-09,sh.000001,2987.1805,2989.2051,2940.7138,2943.2907,3034.5113,41456073600,438143854609.8,-3.006105,1
2020-03-10,sh.000001,2918.9347,3000.2963,2904.7989,2996.7618,2943.2907,39329664800,425017184790.9,1.816711,0
2020-03-11,sh.000001,3001.7616,3010.0286,2968.5174,2968.5174,2996.7618,35247097000,378766618968.3,-0.9424969999999999,0
2020-03-12,sh.000001,2936.0163,2944.4651,2906.2838,2923.4856,2968.5174,30777845700,328209202377.8,-1.516979,0
2020-03-13,sh.000001,2804.2322,2910.8812,2799.9841,2887.4265,2923.4856,36645043600,393019665228.0,-1.233428,0
2020-03-16,sh.000001,2897.3009,2898.0349,2784.6616,2789.2537,2887.4265,35187866500,375627000794.2,-3.40001,0
2020-03-17,sh.000001,2796.284,2826.9068,2715.2213,2779.6407,2789.2537,30614967700,323012822799.1,-0.344644,0
2020-03-18,sh.000001,2792.3221,2815.8737,2728.7563,2728.7563,2779.6407,29115985200,318611391559.4,-1.830611,0
2020-03-19,sh.000001,2719.4063,2736.82,2646.8048,2702.1296,2728.7563,30230274700,330518008489.8,-0.9757819999999999,1
2020-03-20,sh.000001,2727.0186,2751.8964,2702.4933,2745.6182,2702.1296,25201950700,281583369664.4,1.6094190000000002,0
2020-03-23,sh.000001,2677.591,2703.3295,2656.5008,2660.1674,2745.6182,24982025000,268423241973.7,-3.112261,1
2020-03-24,sh.000001,2703.0193,2723.4066,2667.1333,2722.4381,2660.1674,25702193000,278999306643.2,2.340856,1
2020-03-25,sh.000001,2775.3032,2788.6354,2757.8016,2781.5913,2722.4381,27314446600,293191204398.7,2.172802,0
2020-03-26,sh.000001,2761.8961,2788.5038,2753.4282,2764.9109,2781.5913,23408402200,248279785000.7,-0.599671,1
2020-03-27,sh.000001,2792.9843,2805.5479,2771.7563,2772.2033,2764.9109,24076406600,253630725892.3,0.263748,0
2020-03-30,sh.000001,2739.7191,2759.0989,2723.0543,2747.2138,2772.2033,23970660400,250687144232.8,-0.901431,1
2020-03-31,sh.000001,2767.3072,2771.1683,2743.1154,2750.2962,2747.2138,21859867400,224271061569.1,0.112201,0
2020-04-01,sh.000001,2743.5409,2773.3641,2731.0794,2734.5215,2750.2962,21725342700,225624646571.6,-0.5735640000000001,1
2020-04-02,sh.000001,2720.2284,2780.6379,2719.9043,2780.6379,2734.5215,21786460000,233111575711.2,1.686452,0
2020-04-03,sh.000001,2773.5764,2780.5868,2754.0731,2763.9874,2780.6379,20083740400,214062212038.2,-0.598801,1
2020-04-07,sh.000001,2806.9676,2823.2767,2801.8386,2820.7634,2763.9874,27019818600,286627794328.1,2.054134,0
2020-04-08,sh.000001,2805.9166,2823.2139,2800.2963,2815.3686,2820.7634,24351530500,253159668052.3,-0.191253,1
2020-04-09,sh.000001,2825.8393,2832.395,2820.4326,2825.9036,2815.3686,23818484300,247392988028.6,0.37419600000000003,0
2020-04-10,sh.000001,2827.1873,2833.0148,2789.9756,2796.6312,2825.9036,23345476800,246376307236.7,-1.03586,0
2020-04-13,sh.000001,2784.5979,2792.8906,2774.0808,2783.0476,2796.6312,17712455400,184120284139.7,-0.485713,1
2020-04-14,sh.000001,2794.801,2827.2981,2789.4279,2827.283,2783.0476,20269656900,223605697288.9,1.589459,0
2020-04-15,sh.000001,2826.6618,2829.7503,2808.7039,2811.1741,2827.283,20562114600,231631632235.0,-0.569766,1
2020-04-16,sh.000001,2798.4295,2823.3382,2796.8388,2819.935,2811.1741,20300377300,222432600865.7,0.311646,1
2020-04-17,sh.000001,2835.5581,2854.9599,2830.0217,2838.4945,2819.935,24573675000,280025229139.5,0.658153,1
2020-04-20,sh.000001,2840.4085,2852.99,2833.2615,2852.5528,2838.4945,21184707800,233759313193.0,0.49527299999999996,0
2020-04-21,sh.000001,2842.2372,2842.2372,2808.0214,2827.0133,2852.5528,23323587000,248688585735.6,-0.8953209999999999,1
2020-04-22,sh.000001,2814.0661,2843.9804,2808.4819,2843.9804,2827.0133,21732000000,232796777750.0,0.600178,0
2020-04-23,sh.000001,2850.5104,2853.6357,2835.8961,2838.4994,2843.9804,24877903700,262662040531.8,-0.192723,0
2020-04-24,sh.000001,2834.9387,2834.9387,2802.4989,2808.5293,2838.4994,23518507600,244122291476.8,-1.055843,1
2020-04-27,sh.000001,2812.2422,2832.6662,2802.9579,2815.4947,2808.5293,21013098100,225293706288.5,0.248009,0
2020-04-28,sh.000001,2819.9914,2821.745,2758.2459,2810.0243,2815.4947,25387274500,270534752615.1,-0.194296,1
2020-04-29,sh.000001,2801.383,2831.7642,2800.7379,2822.4424,2810.0243,20206180700,222720221727.9,0.441921,1
2020-04-30,sh.000001,2832.3843,2865.59,2832.3843,2860.0822,2822.4424,24245527800,277440934007.1,1.33359,1
2020-05-06,sh.000001,2831.6326,2879.2634,2830.6536,2878.1402,2860.0822,24982661600,303890031004.9,0.63138,0
2020-05-07,sh.000001,2876.4727,2882.0222,2864.5813,2871.5232,2878.1402,22673695700,268607485283.6,-0.22990500000000003,1
2020-05-08,sh.000001,2882.7078,2903.7967,2879.2034,2895.3444,2871.5232,22682207500,276562716950.3,0.829567,0
2020-05-11,sh.000001,2901.5739,2914.2838,2884.3806,2894.802,2895.3444,22512041000,271930641512.4,-0.018734,0
2020-05-12,sh.000001,2894.6171,2897.9018,2871.23,2891.5564,2894.802,19708298500,238476218839.0,-0.11211800000000001,1
2020-05-13,sh.000001,2882.9552,2900.2587,2875.5354,2898.0495,2891.5564,18506131000,223866906923.5,0.224554,0
2020-05-14,sh.000001,2887.0577,2887.0577,2869.1832,2870.3422,2898.0495,19777620200,237336974703.0,-0.956067,0
2020-05-15,sh.000001,2880.7067,2884.2199,2863.3698,2868.4587,2870.3422,18898359200,246878191080.5,-0.06561900000000001,1
2020-05-18,sh.000001,2872.5244,2889.9795,2862.2709,2875.4176,2868.4587,22602288200,289089595543.4,0.242601,1
2020-05-19,sh.000001,2897.6867,2900.2187,2887.5768,2898.576,2875.4176,19722240500,256277803071.8,0.805393,0
2020-05-20,sh.000001,2896.4657,2896.4657,2876.1766,2883.7378,2898.576,21051998500,269176553624.7,-0.5119130000000001,0
2020-05-21,sh.000001,2890.7213,2891.5177,2864.2073,2867.9237,2883.7378,20353203800,250569937552.8,-0.548389,0
2020-05-22,sh.000001,2863.0462,2863.0462,2808.0177,2813.7654,2867.9237,20906371200,245229603697.9,-1.8884150000000002,1
2020-05-25,sh.000001,2816.241,2821.4978,2802.4653,2817.9697,2813.7654,17288555700,202115352627.3,0.149419,1
2020-05-26,sh.000001,2827.8967,2848.3371,2825.901,2846.5473,2817.9697,17456236900,207427833710.6,1.0141200000000001,0
2020-05-27,sh.000001,2847.3198,2848.9965,2831.9281,2836.8036,2846.5473,19814934300,227934395739.0,-0.34229899999999996,1
2020-05-28,sh.000001,2838.2072,2861.9241,2820.1455,2846.2217,2836.8036,20754601900,239234260636.0,0.331997,1
2020-05-29,sh.000001,2835.584,2855.3756,2829.6271,2852.3512,2846.2217,20679280400,233798996642.7,0.215356,1
2020-06-01,sh.000001,2871.9641,2917.1508,2871.9641,2915.4311,2852.3512,26019605000,307416215147.8,2.211505,1
2020-06-02,sh.000001,2916.3168,2926.3588,2909.1277,2921.398,2915.4311,25610804900,294402745887.8,0.20466600000000001,1
2020-06-03,sh.000001,2930.3906,2942.7597,2922.6612,2923.3711,2921.398,25566398000,300447817007.3,0.06754,0
2020-06-04,sh.000001,2931.8376,2932.9677,2910.7516,2919.2506,2923.3711,22660587300,254345984480.0,-0.14095,1
2020-06-05,sh.000001,2923.1891,2930.7993,2909.1181,2930.7993,2919.2506,21736067300,253141142477.6,0.39560500000000004,1
2020-06-08,sh.000001,2941.9816,2950.0656,2934.2103,2937.7712,2930.7993,23112436000,274611815611.0,0.237884,1
2020-06-09,sh.000001,2939.5351,2957.1186,2932.9385,2956.1116,2937.7712,20904858500,251414696240.0,0.624296,0
2020-06-10,sh.000001,2951.2784,2951.3298,2934.8428,2943.7525,2956.1116,20792596900,243968496538.1,-0.41808599999999996,0
2020-06-11,sh.000001,2939.7914,2952.651,2912.1932,2920.8968,2943.7525,23372294700,289023256107.0,-0.776414,0
2020-06-12,sh.000001,2876.8029,2930.255,2872.6165,2919.7408,2920.8968,23600864200,274321726179.0,-0.039577,0
2020-06-15,sh.000001,2908.2767,2922.5364,2890.0306,2890.0306,2919.7408,24320504600,293361556833.6,-1.017563,1
2020-06-16,sh.000001,2912.8251,2931.7791,2909.1341,2931.7493,2890.0306,22331306500,270948558455.0,1.443538,1
2020-06-17,sh.000001,2932.6708,2936.6162,2919.0353,2935.873,2931.7493,23465439100,278007110729.6,0.140657,1
2020-06-18,sh.000001,2929.8799,2942.8983,2920.1054,2939.3151,2935.873,25869137700,289367727804.2,0.117243,1
2020-06-19,sh.000001,2938.7887,2973.3164,2935.8239,2967.6341,2939.3151,26431396100,319089106631.7,0.963456,0
2020-06-22,sh.000001,2966.9008,2983.4382,2959.035,2965.2717,2967.6341,26788383400,346028748359.1,-0.079606,1
2020-06-23,sh.000001,2960.8875,2972.4025,2949.8469,2970.6203,2965.2717,22521220800,305378770529.9,0.180375,1
2020-06-24,sh.000001,2972.9827,2982.9425,2971.2235,2979.5505,2970.6203,21320073200,297008784132.4,0.300617,0
2020-06-29,sh.000001,2973.0757,2977.9122,2951.7702,2961.5164,2979.5505,22062272900,293886016005.3,-0.605262,1
2020-06-30,sh.000001,2965.1054,2990.8253,2965.1054,2984.6741,2961.5164,21495721400,297312328413.8,0.781954,1
