date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion,label
2020/1/2,sh.000001,3066.335,3098.1,3066.335,3085.197,3050.1240000000003,29247020800,327197000000.0,1.149888,0.124325,0
2020/1/3,sh.000001,3089.022,3093.8190000000004,3074.5170000000003,3083.785,3085.197,26149666816,289992000000.0,-0.045767,0.099001169,0
2020/1/6,sh.000001,3070.908,3107.203,3065.308,3083.408,3083.785,31257584128,331183000000.0,-0.012225,0.09903149900000001,1
2020/1/7,sh.000001,3085.488,3105.45,3084.329,3104.801,3083.408,27658311168,288159000000.0,0.69381,0.11550368300000001,0
2020/1/8,sh.000001,3094.238,3094.238,3059.131,3066.8920000000003,3104.801,29787255296,306517000000.0,-1.22098,0.11612531599999999,1
2020/1/9,sh.000001,3082.639,3097.329,3080.131,3094.881,3066.8920000000003,24343564800,271716000000.0,0.912618,0.09874130800000001,0
2020/1/10,sh.000001,3102.2929999999997,3105.224,3081.3959999999997,3092.29,3094.881,21044246272,241556000000.0,-0.083719,0.08852400099999999,1
2020/1/13,sh.000001,3091.493,3115.5690000000004,3075.383,3115.5690000000004,3092.29,21062100480,258524000000.0,0.752808,0.097237041,0
2020/1/14,sh.000001,3120.6659999999997,3127.1690000000003,3105.6040000000003,3106.82,3115.5690000000004,22997377024,271542000000.0,-0.28081500000000004,0.083984936,0
2020/1/15,sh.000001,3103.1740000000004,3107.942,3082.042,3090.0370000000003,3106.82,20231302400,232913000000.0,-0.540199,0.118308232,0
2020/1/16,sh.000001,3095.7340000000004,3096.3709999999996,3070.884,3074.0809999999997,3090.0370000000003,20337547520,236843000000.0,-0.516369,0.131808299,0
2020/1/17,sh.000001,3081.4640000000004,3091.9509999999996,3067.252,3075.495,3074.0809999999997,19030429952,242273000000.0,0.045997,0.083474041,1
2020/1/20,sh.000001,3082.113,3096.31,3070.48,3095.7870000000003,3075.495,21049334016,271122000000.0,0.659796,0.10603786800000001,0
2020/1/21,sh.000001,3085.789,3085.789,3051.23,3052.1409999999996,3095.7870000000003,23483073792,286268000000.0,-1.409852,0.08301444599999999,1
2020/1/22,sh.000001,3038.486,3069.252,3006.2670000000003,3060.7540000000004,3052.1409999999996,22385286400,278457000000.0,0.282195,0.099571735,0
2020/1/23,sh.000001,3037.952,3045.04,2955.3459999999995,2976.528,3060.7540000000004,27276323328,327490000000.0,-2.751806,0.12055372800000001,0
2020/2/3,sh.000001,2716.697,2766.577,2716.697,2746.605,2976.528,21591210240,257020000000.0,-7.724537,0.08395312099999999,1
2020/2/4,sh.000001,2685.2690000000002,2786.164,2685.2690000000002,2783.2870000000003,2746.605,36404620032,374068000000.0,1.33554,0.11524644699999999,1
2020/2/5,sh.000001,2792.3709999999996,2842.742,2778.864,2818.087,2783.2870000000003,30976182272,349184000000.0,1.25032,0.13429227800000001,1
2020/2/6,sh.000001,2826.885,2876.587,2807.6090000000004,2866.509,2818.087,31639214336,358583000000.0,1.7182580000000003,0.092204045,1
2020/2/7,sh.000001,2858.9320000000002,2875.9629999999997,2838.77,2875.9629999999997,2866.509,30947964160,362384000000.0,0.329809,0.131442069,1
2020/2/10,sh.000001,2860.4990000000003,2891.847,2851.05,2890.487,2875.9629999999997,29492978432,341520000000.0,0.505013,0.134945442,1
2020/2/11,sh.000001,2894.5409999999997,2913.815,2882.242,2901.6740000000004,2890.487,26916833536,302957000000.0,0.38702800000000004,0.11436558599999999,1
2020/2/12,sh.000001,2895.5559999999996,2926.8990000000003,2892.4240000000004,2926.8990000000003,2901.6740000000004,24873342976,297534000000.0,0.869326,0.14094156800000002,0
2020/2/13,sh.000001,2927.1440000000002,2935.406,2901.242,2906.073,2926.8990000000003,27480484352,334526000000.0,-0.711538,0.09225829599999999,1
2020/2/14,sh.000001,2899.865,2926.942,2899.573,2917.007,2906.073,25065062656,308080000000.0,0.376247,0.08517182,1
2020/2/17,sh.000001,2924.991,2983.637,2924.991,2983.6220000000003,2917.007,31319800832,367014000000.0,2.283676,0.115309364,0
2020/2/18,sh.000001,2981.409,2990.6,2960.775,2984.9709999999995,2983.6220000000003,31166591232,374999000000.0,0.045214,0.103900201,0
2020/2/19,sh.000001,2979.522,2998.2709999999997,2971.821,2975.401,2984.9709999999995,31514115072,381331000000.0,-0.320606,0.13634719,1
2020/2/20,sh.000001,2981.88,3031.37,2968.445,3030.1540000000005,2975.401,34573288192,413761000000.0,1.8401889999999999,0.148212352,1
2020/2/21,sh.000001,3022.245,3058.8979999999997,3020.1409999999996,3039.6690000000003,3030.1540000000005,36455727616,445062000000.0,0.31401,0.098394267,0
2020/2/24,sh.000001,3027.8920000000003,3042.1820000000002,3007.355,3031.2329999999997,3039.6690000000003,37043004416,451601000000.0,-0.27753,0.108485982,0
2020/2/25,sh.000001,2982.0690000000004,3016.945,2943.716,3013.05,3031.2329999999997,44162276096,513129000000.0,-0.599855,0.105061766,0
2020/2/26,sh.000001,2978.4190000000003,3028.778,2974.942,2987.928,3013.05,46904955136,495341000000.0,-0.833773,0.097113434,1
2020/2/27,sh.000001,2992.491,3009.4570000000003,2980.4770000000003,2991.328,2987.928,35052365824,395956000000.0,0.113791,0.085829061,0
2020/2/28,sh.000001,2924.64,2948.1259999999997,2878.5440000000003,2880.303,2991.328,40121691392,432658000000.0,-3.7115620000000002,0.092903396,1
2020/3/2,sh.000001,2899.31,2982.506,2899.31,2970.9309999999996,2880.303,36733336832,397244000000.0,3.146475,0.12149285900000001,1
2020/3/3,sh.000001,3006.888,3026.842,2976.623,2992.8959999999997,2970.9309999999996,41010804736,447054000000.0,0.7393310000000001,0.099525871,1
2020/3/4,sh.000001,2981.8059999999996,3012.0029999999997,2974.3579999999997,3011.665,2992.8959999999997,35333827840,389894000000.0,0.6271180000000001,0.11039482099999999,1
2020/3/5,sh.000001,3036.1540000000005,3074.257,3022.926,3071.677,3011.665,44542580736,482770000000.0,1.992652,0.095092879,0
2020/3/6,sh.000001,3039.9390000000003,3052.4429999999998,3029.4629999999997,3034.511,3071.677,36206153216,377389000000.0,-1.209958,0.159100471,0
2020/3/9,sh.000001,2987.1805,2989.2051,2940.7138,2943.2907,3034.5113,41456073600,438144000000.0,-3.006105,0.08583199400000001,1
2020/3/10,sh.000001,2918.9347,3000.2963,2904.7989,2996.7618,2943.2907,39329664800,425017000000.0,1.816711,0.097984517,0
2020/3/11,sh.000001,3001.7616,3010.0286,2968.5174,2968.5174,2996.7618,35247097000,378767000000.0,-0.9424969999999999,0.09061843300000001,0
2020/3/12,sh.000001,2936.0163,2944.4651,2906.2838,2923.4856,2968.5174,30777845700,328209000000.0,-1.516979,0.08047516,0
2020/3/13,sh.000001,2804.2322,2910.8812,2799.9841,2887.4265,2923.4856,36645043600,393020000000.0,-1.233428,0.09358707699999999,0
2020/3/16,sh.000001,2897.3009,2898.0349,2784.6616,2789.2537,2887.4265,35187866500,375627000000.0,-3.40001,0.081333925,0
2020/3/17,sh.000001,2796.284,2826.9068,2715.2213,2779.6407,2789.2537,30614967700,323013000000.0,-0.344644,0.08699445,0
2020/3/18,sh.000001,2792.3221,2815.8737,2728.7563,2728.7563,2779.6407,29115985200,318611000000.0,-1.830611,0.07999788299999999,0
2020/3/19,sh.000001,2719.4063,2736.82,2646.8048,2702.1296,2728.7563,30230274700,330518000000.0,-0.9757819999999999,0.07995246,1
2020/3/20,sh.000001,2727.0186,2751.8964,2702.4933,2745.6182,2702.1296,25201950700,281583000000.0,1.6094190000000002,0.09362846699999999,0
2020/3/23,sh.000001,2677.591,2703.3295,2656.5008,2660.1674,2745.6182,24982025000,268423000000.0,-3.112261,0.085235542,1
2020/3/24,sh.000001,2703.0193,2723.4066,2667.1333,2722.4381,2660.1674,25702193000,278999000000.0,2.340856,0.086852604,1
2020/3/25,sh.000001,2775.3032,2788.6354,2757.8016,2781.5913,2722.4381,27314446600,293191000000.0,2.172802,0.08482147400000001,0
2020/3/26,sh.000001,2761.8961,2788.5038,2753.4282,2764.9109,2781.5913,23408402200,248280000000.0,-0.599671,0.080989569,1
2020/3/27,sh.000001,2792.9843,2805.5479,2771.7563,2772.2033,2764.9109,24076406600,253631000000.0,0.263748,0.082434127,0
2020/3/30,sh.000001,2739.7191,2759.0989,2723.0543,2747.2138,2772.2033,23970660400,250687000000.0,-0.901431,0.085155841,1
2020/3/31,sh.000001,2767.3072,2771.1683,2743.1154,2750.2962,2747.2138,21859867400,224271000000.0,0.112201,0.06888984599999999,0
2020/4/1,sh.000001,2743.5409,2773.3641,2731.0794,2734.5215,2750.2962,21725342700,225625000000.0,-0.5735640000000001,0.088915646,1
2020/4/2,sh.000001,2720.2284,2780.6379,2719.9043,2780.6379,2734.5215,21786460000,233112000000.0,1.686452,0.10060536,0
2020/4/3,sh.000001,2773.5764,2780.5868,2754.0731,2763.9874,2780.6379,20083740400,214062000000.0,-0.598801,0.079483871,1
2020/4/7,sh.000001,2806.9676,2823.2767,2801.8386,2820.7634,2763.9874,27019818600,286628000000.0,2.054134,0.101174291,0
2020/4/8,sh.000001,2805.9166,2823.2139,2800.2963,2815.3686,2820.7634,24351530500,253160000000.0,-0.191253,0.100533968,1
2020/4/9,sh.000001,2825.8393,2832.395,2820.4326,2825.9036,2815.3686,23818484300,247393000000.0,0.37419600000000003,0.117334551,0
2020/4/10,sh.000001,2827.1873,2833.0148,2789.9756,2796.6312,2825.9036,23345476800,246376000000.0,-1.03586,0.19285028,0
2020/4/13,sh.000001,2784.5979,2792.8906,2774.0808,2783.0476,2796.6312,17712455400,184120000000.0,-0.485713,0.08307682400000001,1
2020/4/14,sh.000001,2794.801,2827.2981,2789.4279,2827.283,2783.0476,20269656900,223606000000.0,1.589459,0.099787142,0
2020/4/15,sh.000001,2826.6618,2829.7503,2808.7039,2811.1741,2827.283,20562114600,231632000000.0,-0.569766,0.19414946600000002,1
2020/4/16,sh.000001,2798.4295,2823.3382,2796.8388,2819.935,2811.1741,20300377300,222433000000.0,0.311646,0.08514355300000001,1
2020/4/17,sh.000001,2835.5581,2854.9599,2830.0217,2838.4945,2819.935,24573675000,280025000000.0,0.658153,0.10410976300000001,1
2020/4/20,sh.000001,2840.4085,2852.99,2833.2615,2852.5528,2838.4945,21184707800,233759000000.0,0.49527299999999996,0.110196395,0
