date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sh.000001,-0.94109604,-0.961095911,-0.923281987,-0.957202917,-0.955492817,-0.272172364,-0.639018124,0.994532122,0.61164929
2020/1/3,sh.000001,-0.952380607,-0.969824329,-0.935559469,-0.969436053,-0.965442853,-0.609883966,-0.940284455,-0.079373476,-0.183782964
2020/1/6,sh.000001,-0.951689395,-0.969259278,-0.936328182,-0.970835359,-0.964873779,-0.052956037,-0.606741613,-0.049246942,-0.182830286
2020/1/7,sh.000001,-0.927877062,-0.950859459,-0.915494612,-0.951478711,-0.943884933,-0.445393015,-0.955127116,0.584894963,0.334567988
2020/1/8,sh.000001,-0.893329505,-0.924218988,-0.884063609,-0.922234002,-0.91362335,-0.213269359,-0.806473781,-1.134918613,0.354093744
2020/1/9,sh.000001,-0.859106266,-0.897593224,-0.853483166,-0.893680596,-0.881564001,-0.806807407,-1.088273797,0.781422503,-0.191945308
2020/1/10,sh.000001,-0.834338464,-0.879222277,-0.82822956,-0.871448774,-0.86124533,-1.166539666,-1.332493459,-0.113460956,-0.512875247
2020/1/13,sh.000001,-0.828852826,-0.877342295,-0.813382623,-0.862407888,-0.868236112,-1.164592981,-1.195095607,0.637885401,-0.239194971
2020/1/14,sh.000001,-0.843239061,-0.892074183,-0.815597222,-0.869793184,-0.892577674,-0.953585345,-1.089682756,-0.290487354,-0.655449201
2020/1/15,sh.000001,-0.884566016,-0.930407718,-0.843273357,-0.897770995,-0.933732581,-1.255176799,-1.402479883,-0.523459181,0.42266006
2020/1/16,sh.000001,-0.928885396,-0.967857082,-0.884054858,-0.935272532,-0.966527531,-1.24359265,-1.37065683,-0.502055707,0.846702881
2020/1/17,sh.000001,-0.962486035,-0.990083207,-0.942262586,-0.989300145,-0.960945634,-1.386110674,-1.326687574,0.003046514,-0.671496629
2020/1/20,sh.000001,-0.99910612,-1.011669536,-1.012421931,-1.050010923,-0.953669451,-1.165984938,-1.093083693,0.554344491,0.037242731
2020/1/21,sh.000001,-1.000921481,-0.996386202,-1.023812016,-1.034206175,-0.963970674,-0.900628713,-0.970439429,-1.304558432,-0.685932702
2020/1/22,sh.000001,-1.156736269,-1.129730043,-1.151046329,-1.105762894,-1.042165621,-1.020322988,-1.033688759,0.215193291,-0.165861244
2020/1/23,sh.000001,-1.361610741,-1.312958182,-1.50586239,-1.52786789,-1.230641771,-0.487042025,-0.636645566,-2.509865911,0.49319204
2020/2/3,sh.000001,-2.115289933,-2.035034497,-2.074936661,-1.940705775,-1.451288589,-1.106902931,-1.2072742,-6.976240963,-0.656448523
