date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sz.399001,-1.826497751,-1.801859004,-1.783414588,-1.760660404,-1.880679542,-0.198851891,-0.917615639,1.291705336,0.61164929
2020/1/3,sz.399001,-1.727677827,-1.785519056,-1.710920987,-1.749582293,-1.749956559,-0.415769121,-1.059148176,0.055025213,-0.183782964
2020/1/6,sz.399001,-1.769860299,-1.716494278,-1.721407455,-1.723202626,-1.738909777,0.328626475,-0.554885276,0.208896198,-0.182830286
2020/1/7,sz.399001,-1.690966706,-1.698002406,-1.628990514,-1.64080547,-1.712604712,0.04271279,-0.769530255,0.769632492,0.334567988
2020/1/8,sz.399001,-1.658641699,-1.684047838,-1.656089571,-1.717787067,-1.630440576,0.588649037,-0.556021003,-0.819385673,0.354093744
2020/1/9,sz.399001,-1.63961555,-1.653798508,-1.57636521,-1.597253533,-1.707204468,-0.160941861,-0.83874237,1.151115152,-0.191945308
2020/1/10,sz.399001,-1.56374682,-1.632258545,-1.559610903,-1.608799166,-1.587011805,-0.626070404,-1.109986914,-0.170355645,-0.512875247
2020/1/13,sz.399001,-1.585066395,-1.565487987,-1.54809635,-1.507759757,-1.598524787,-0.74452115,-1.028505956,0.939676904,-0.239194971
2020/1/14,sz.399001,-1.471592635,-1.536238997,-1.464776539,-1.540167424,-1.497771118,-0.380340731,-0.872380818,-0.371630152,-0.655449201
2020/1/15,sz.399001,-1.532193398,-1.589584028,-1.528440629,-1.550532912,-1.530087135,-0.90418773,-1.262712342,-0.15789619,0.42266006
2020/1/16,sz.399001,-1.52694474,-1.58556572,-1.495581764,-1.553608345,-1.54042331,-1.055035445,-1.279172915,-0.086765556,0.846702881
2020/1/17,sz.399001,-1.517516979,-1.562319404,-1.499937049,-1.561829032,-1.543490045,-1.204556866,-1.359981404,-0.13711173,-0.671496629
2020/1/20,sz.399001,-1.530171595,-1.517991876,-1.494266448,-1.460073219,-1.551687484,-0.911099137,-1.03975115,0.939913506,0.037242731
2020/1/21,sz.399001,-1.469854374,-1.541742128,-1.48681805,-1.562443362,-1.450219438,-0.82108686,-1.067718434,-1.044750307,-0.685932702
2020/1/22,sz.399001,-1.583461122,-1.524389288,-1.605063652,-1.487687847,-1.552300077,-0.667005219,-0.878881362,0.675534576,-0.165861244
2020/1/23,sz.399001,-1.551278514,-1.574403195,-1.724897883,-1.733516447,-1.477755972,-0.089262835,-0.49021607,-2.438776081,0.49319204
2020/2/3,sz.399001,-2.329937936,-2.25948359,-2.272589494,-2.301999614,-1.722889366,-2.448308693,-2.127217466,-5.766502977,-0.656448523
2020/2/4,sz.399001,-2.410052891,-2.158231393,-2.35338939,-2.106675281,-2.289764857,1.146479037,-0.083080266,2.086122481,0.326488097
2020/2/5,sz.399001,-2.045785881,-1.938957796,-1.993162926,-1.970683303,-2.094992903,0.499548873,-0.179744104,1.38937594,0.924725713
